,LATITUDE,LONGITUDE,SURVEY_YEAR,COMMON_NAME,HAULJOIN,START_HOUR,SPECIES_CODE,CPUE,MATURITY_CODE,SPCODE_MATURITY,BOTTOM_DEPTH,SURFACE_TEMPERATURE,BOTTOM_TEMPERATURE,VESSEL,CRUISE,HAUL
0,55.01667,-165.71667,1976,snow crab,12240,5500,342900,912,18,3429018,630,0.0,0.0,70,988010,40
1,55.01667,-165.15,1976,snow crab,21000,9600,548640,178129,39,5486439,848,56.0,39.199999999999996,112,1580816,1480
2,55.03333,-166.93333,1976,snow crab,17990,10500,480060,11241,37,4800637,1064,46.900000000000006,30.1,98,1383214,910
3,55.03333,-166.35,1976,snow crab,17115,11200,480060,13368,37,4800637,973,0.0,0.0,98,1383214,35
4,55.31667,-164.61667,1976,snow crab,19672,11200,548640,100023,39,5486439,808,0.0,0.0,112,1580816,152
5,55.35,-165.76667,1976,snow crab,7488,1800,205740,759,13,2057413,345,16.200000000000003,12.0,42,592806,168
6,55.35,-163.41667,1976,snow crab,20912,9600,548640,6629,38,5486438,384,88.79999999999998,46.39999999999999,112,1580816,1392
7,55.36667,-166.35,1976,snow crab,22914,6300,617220,20388,45,6172245,1152,69.30000000000001,28.799999999999997,126,1778418,954
8,55.36667,-165.16667,1976,snow crab,22446,6300,617220,9245,45,6172245,990,58.5,31.5,126,1778418,486
9,55.66667,-166.36667,1976,snow crab,22923,9000,617220,5938,45,6172245,1116,72.89999999999999,30.599999999999994,126,1778418,963
10,55.66667,-163.38333,1976,snow crab,14856,8400,411480,15649,23,4114823,474,25.8,6.0,84,1185612,216
11,55.68333,-165.78333,1976,snow crab,14982,5400,411480,4556,23,4114823,678,37.8,18.6,84,1185612,342
12,55.68333,-162.81667,1976,snow crab,19816,13600,548640,10385,38,5486438,424,32.800000000000004,14.400000000000002,112,1580816,296
13,55.7,-167.56667,1976,snow crab,23310,6300,617220,14586,45,6172245,1188,79.19999999999999,29.700000000000003,126,1778418,1350
14,55.7,-166.96667,1976,snow crab,20728,8000,548640,5800,38,5486438,1056,67.2,28.0,112,1580816,1208
15,55.7,-165.18333,1976,snow crab,19944,12800,548640,79155,39,5486439,848,43.199999999999996,18.400000000000002,112,1580816,424
16,55.7,-164.53333,1976,snow crab,19728,13600,548640,263558,39,5486439,744,0.0,0.0,112,1580816,208
