,Year,CPUE,LATITUDE,LONGITUDE,HAULJOIN,START_HOUR,SPECIES_CODE,CPUE,MATURITY_CODE,SPCODE_MATURITY,BOTTOM_DEPTH,SURFACE_TEMPERATURE_x,BOTTOM_TEMPERATURE_x,VESSEL,CRUISE,HAUL,Hawaii pH,Hawaii pCO2,BOTTOM_TEMPERATURE_y,SURFACE_TEMPERATURE_y,Eastern Bering Sea - Latitude,Eastern Bering Sea - Depth,Sea_Level
18,1993,1675324.0,16150.557079999999,-47095.63537999997,25732689.0,2337400.0,136474200.0,66929488.0,9786.0,1364751786.0,177199.0,14754.700000000006,4126.800000000004,176075.0,396608990.0,247994.0,8.109916666666667,331.78333333333336,2.9,7.2,-5.537399543,4.278668335,6.306781039
19,1994,1621451.0,15572.157159999993,-45426.06570999999,1498880251.0,2162600.0,133182360.0,59358343.0,9564.0,1331833164.0,173204.0,11634.799999999997,1090.5,171870.0,387236742.0,242141.0,8.107044444444444,333.5222222222221,1.8,6.0,-7.348209653,1.984705221,6.438651665
20,1995,1589727.0,15555.48920999999,-45363.57815999999,1485988666.0,2107956.0,124472700.0,53017188.0,8967.0,1244735967.0,162867.0,11731.900000000009,1206.4999999999993,160690.0,362094315.0,225357.0,8.103833333333334,334.94444444444446,1.4,6.5,-5.189924325,5.804317668,6.57674495
21,1996,1602727.0,15893.33029,-46372.68325000007,1559548698.0,2130803.0,124541280.0,34811204.0,8629.0,1245421429.0,166659.0,13113.699999999999,4664.400000000001,160743.0,362475416.0,220700.0,8.09602,341.8,3.3,7.1,-3.854403266,9.656449707,6.723710173
22,1997,1645666.0,17188.924519999986,-50175.849019999965,1835048627.0,2543933.0,139903200.0,26134151.0,9575.0,1399041575.0,187273.0,16756.80000000001,3810.1,180549.0,407390040.0,231480.0,8.099920000000001,340.24999999999994,2.4,8.2,-6.243419245,2.896439774,6.779514525
23,1998,1688634.0,17710.693199999998,-51648.79874999999,2020105380.0,2491814.0,147789900.0,18138733.0,10108.0,1477909108.0,195350.0,17378.60000000001,5457.999999999999,190732.0,430571155.0,242463.0,8.094291666666665,347.8333333333333,3.2,8.0,-6.290863459,4.255649458,6.770265291
24,1999,1702046.0,17882.226389999993,-52165.087089999986,2096634981.0,2498214.0,148887180.0,8425644.0,10221.0,1488882021.0,195263.0,9966.599999999995,1366.099999999998,192157.0,433985071.0,245665.0,8.09522,347.66999999999996,0.9,4.5,-4.484616306,10.66112059,6.840497137
25,2000,1633671.0,16963.84102,-49460.34538000004,2095582774.0,2451776.0,142166340.0,18669966.0,9866.0,1421673266.0,182024.0,14233.500000000004,3366.4000000000005,183559.0,414602073.0,251146.0,8.086836363636365,354.41818181818184,2.1,6.6,2.005238643,5.191690419,6.919122465
26,2001,1624831.0,16624.51949000002,-48480.49056999999,2132797841.0,2402323.0,137571480.0,22702370.0,9437.0,1375724237.0,179477.0,12218.699999999999,3869.4000000000005,177526.0,401402606.0,259648.0,8.087433333333333,353.72499999999997,2.9,6.3,-1.481856588,12.58530341,7.116325549
27,2002,1584240.0,15993.78056,-46621.57015999998,2007789624.0,2097578.0,123238260.0,9145648.0,8355.0,1232390955.0,159154.0,13167.099999999997,4414.700000000001,159048.0,359761197.0,232491.0,8.08902,351.71999999999997,3.2,7.4,2.782838784,0.618906463,7.258223788
28,2003,1481296.0,14720.956619999997,-42968.254649999995,1913363466.0,2016884.0,113499900.0,15346703.0,7712.0,1135006712.0,151299.0,13814.999999999996,4940.299999999999,146472.0,331498155.0,222308.0,8.093363636363636,347.71818181818185,3.9,8.0,7.593584517,3.723760485,7.410511627
29,2004,1497689.0,14731.968109999998,-43002.25098999999,2013768630.0,2084982.0,115488720.0,28471185.0,8064.0,1154895264.0,154496.0,15242.599999999997,3916.0999999999985,148982.0,337475284.0,235850.0,8.090558333333332,348.825,3.3,8.7,3.167221785,8.533278673,7.465565214
30,2005,1428943.0,14252.701749999995,-41568.9979,-22428251.0,1993427.0,112265460.0,32289149.0,7766.0,1122662366.0,147020.0,12708.5,3848.7999999999993,144960.0,328220137.0,209027.0,8.0826,357.93,3.6,7.8,6.670007133,4.295301828,7.566645782
31,2006,1557358.0,15817.898270000005,-46099.783449999995,-20919889.0,2228942.0,125021340.0,20658137.0,8606.0,1250222006.0,161131.0,10979.599999999991,1786.0,209874.0,365695623.0,230965.0,8.086791666666667,353.9166666666667,1.9,6.2,-1.383721954,9.035441315,7.678404507
32,2007,1482022.0,15168.068390000011,-44258.750019999985,-6321891.0,2267559.0,124609860.0,20135745.0,8587.0,1246107187.0,161713.0,13027.199999999997,1353.0000000000005,160754.0,364673717.0,239291.0,8.076755555555557,363.94444444444446,1.3,6.3,-0.240080745,3.630493496,7.674412818
33,2008,1626139.0,16623.812290000016,-48521.507690000006,-8444162.0,2397705.0,135856980.0,16111396.0,9521.0,1358579321.0,176833.0,9347.000000000004,1193.6999999999996,175429.0,397786781.0,244091.0,8.079025,362.25,1.0,4.3,4.853330432,7.285274494,7.828383728
34,2009,1578483.0,16101.571310000001,-47018.799090000015,-10727791.0,2422236.0,137845800.0,20085498.0,9722.0,1378467722.0,180895.0,10535.699999999993,1056.0999999999997,177869.0,403811010.0,239985.0,8.07554,368.15999999999997,1.0,5.3,0.162916254,13.65545577,7.973212968
35,2010,1603581.0,16338.150179999991,-47729.564099999996,-12608851.0,2329763.0,130713480.0,46214218.0,9300.0,1307144100.0,174451.0,11863.000000000007,1539.4,264899.0,383107906.0,256850.0,8.077877777777779,365.4222222222222,1.6,5.8,3.779285296,7.587610072,8.03087412
36,2011,1550192.0,15866.686379999996,-46360.88083000001,-15131383.0,2316642.0,130782060.0,38979717.0,9402.0,1307830002.0,176513.0,10214.4,3527.1,237394.0,383499607.0,234472.0,8.07836,363.64,2.5,5.1,-1.763753585,8.492663785,7.966928207
37,2012,1598539.0,15948.466609999996,-46566.78763000002,-16942775.0,2233474.0,130302000.0,32826489.0,9458.0,1303029458.0,174200.0,11112.000000000005,485.59999999999974,236990.0,382281900.0,269703.0,8.067820000000001,375.4899999999999,0.4,5.3,-4.828000138,5.412246724,8.362109902
38,2013,1471093.0,14000.98481,-40881.60410999998,-17729299.0,2089553.0,119809260.0,27903551.0,8685.0,1198101285.0,161687.0,12325.799999999997,1279.8999999999999,223154.0,351672847.0,222329.0,8.06887,375.06000000000006,1.4,6.1,1.075325882,-1.590463236,8.453537927
39,2014,1577105.0,15217.852330000016,-44385.29054999999,-21931728.0,2203040.0,125021340.0,33011144.0,8925.0,1250222325.0,167338.0,16287.4,3973.599999999997,233786.0,367154023.0,230173.0,8.07105,372.03999999999996,3.2,8.7,3.029677741,6.723735,8.579036068
40,2015,1581282.0,14939.980580000003,-43561.17292000002,-24966559.0,2049918.0,118094760.0,26734675.0,8462.0,1180956062.0,157727.0,12838.899999999998,3517.8000000000047,221164.0,346984722.0,230318.0,8.067029999999999,375.50000000000006,3.7,7.3,6.221833294,5.683849612,8.92498423
41,2016,1474349.0,14111.044589999998,-41167.59502999999,-25252349.0,1892923.0,111031020.0,34108896.0,7866.0,1110318066.0,151162.0,16843.800000000007,4946.5,203254.0,326392019.0,210511.0,8.069611111111112,371.31111111111113,4.6,9.5,18.88148298,6.068151447,9.048398764
