,LATITUDE,LONGITUDE,SURVEY_YEAR,COMMON_NAME,HAULJOIN,START_HOUR,SPECIES_CODE,CPUE,MATURITY_CODE,SPCODE_MATURITY,BOTTOM_DEPTH,SURFACE_TEMPERATURE,BOTTOM_TEMPERATURE,VESSEL,CRUISE,HAUL
0,54.66667,-165.13333,1975,snow crab,14034,7800,411480,6340,23,4114823,480,25.2,25.2,84,1185012,312
1,54.675,-165.16084,1978,snow crab,8466,2100,205740,414,13,2057413,240,14.100000000000001,13.200000000000001,42,593406,3
2,54.67659,-165.14667,1984,snow crab,26760,2700,205740,210,13,2057413,246,19.799999999999997,17.700000000000003,111,595203,186
3,54.68287,-165.15366,1998,snow crab,5624058,9810,411480,5505,23,4114823,504,39.0,30.6,528,1198806,336
4,54.6854,-165.16633,1997,snow crab,4498440,5710,342900,2511,18,3429018,430,38.0,27.5,445,998505,270
5,54.68725,-165.13134,1990,snow crab,30375,2400,205740,243,13,2057413,240,17.1,15.899999999999999,111,597003,177
6,54.69166,-165.1437,1999,snow crab,5793330,3810,411480,6634,23,4114823,480,22.8,0.0,534,1199406,240
7,54.693,-165.155,1983,snow crab,52260,3600,411480,44114,23,4114823,504,41.4,31.8,222,1189806,252
8,54.69338,-165.13291,2010,snow crab,-19248,5154,205740,204,13,2057413,246,16.200000000000003,14.399999999999999,267,603003,171
9,54.69659,-165.12267,1989,snow crab,49530,6500,342900,679,27,3429027,400,33.0,26.5,185,994505,300
10,54.7075,-165.11442,1986,snow crab,43728,6000,274320,300,20,2743220,336,22.4,18.4,228,794408,248
11,54.735,-165.15758,1991,snow crab,61944,9600,411480,3546,23,4114823,540,42.6,30.6,222,1194606,330
12,54.96875,-165.15475,1988,snow crab,68898,10800,411480,1190,23,4114823,678,39.0,25.2,468,1192806,390
13,54.97417,-165.19034,1987,snow crab,22300,3000,342900,1435,18,3429018,560,32.5,25.0,95,993505,200
14,54.97775,-165.76184,1987,snow crab,57018,4200,411480,1893,23,4114823,780,40.8,24.6,222,1192206,516
15,54.98017,-165.79017,1984,snow crab,8262,3600,411480,2790,23,4114823,804,42.0,25.2,6,1190412,306
16,54.98075,-165.74967,1991,snow crab,73428,8400,411480,1248,23,4114823,792,38.4,24.0,468,1194606,450
17,54.98308,-165.16691,1997,snow crab,5396976,9348,411480,10017,23,4114823,660,43.8,24.6,528,1198206,330
18,54.98333,-165.73333,1975,snow crab,9412,4800,274320,1932,20,2743220,504,20.8,12.8,56,790008,268
19,54.98863,-165.75866,2010,snow crab,-38502,6684,411480,1309,23,4114823,786,34.2,23.4,534,1206006,348
20,54.99023,-166.94647,1998,snow crab,5623914,3798,411480,3552,23,4114823,954,49.8,0.0,528,1198806,510
21,54.99045,-165.14573,2012,snow crab,-34076,7000,274320,804,20,2743220,448,19.2,11.2,648,804804,204
22,54.99067,-166.94733,1983,snow crab,6055,6000,342900,1468,18,3429018,795,45.0,21.0,5,991515,375
