,LATITUDE,LONGITUDE,SURVEY_YEAR,COMMON_NAME,HAULJOIN,START_HOUR,SPECIES_CODE,CPUE,MATURITY_CODE,SPCODE_MATURITY,BOTTOM_DEPTH,SURFACE_TEMPERATURE,BOTTOM_TEMPERATURE,VESSEL,CRUISE,HAUL
0,54.99835,-165.1455,2005,snow crab,-82512,9222,411480,1846,23,4114823,660,39.0,0.0,528,1203006,384
1,55.00068,-165.75365,2005,snow crab,-68775,9035,342900,434,21,3429021,655,33.0,22.0,440,1002505,335
2,55.00314,-166.32495,2005,snow crab,-40629,5487,205740,405,11,2057411,429,20.1,12.899999999999999,267,601503,189
3,55.33113,-166.9694,2005,snow crab,-82722,8538,411480,2012,23,4114823,834,49.2,25.2,528,1203006,594
4,55.33155,-164.55236,2005,snow crab,-82500,5550,411480,3990,23,4114823,594,45.6,0.0,528,1203006,372
5,55.33823,-167.55326,2005,snow crab,-82728,9918,411480,670,23,4114823,888,44.4,25.8,528,1203006,600
6,55.33836,-165.17625,2005,snow crab,-81234,6198,411480,2295,23,4114823,672,40.2,27.6,534,1203006,354
7,55.33992,-164.01416,2005,snow crab,-40524,3000,205740,225,15,2057415,237,18.0,14.399999999999999,267,601503,84
8,55.34429,-165.79561,2005,snow crab,-40620,4071,205740,192,11,2057411,363,19.200000000000003,12.899999999999999,267,601503,180
9,55.34666,-166.3683,2005,snow crab,-67705,8290,342900,1281,21,3429021,665,31.0,21.0,445,1002505,305
10,55.64368,-164.58226,2005,snow crab,-82494,3954,411480,28994,23,4114823,570,43.8,0.0,528,1203006,366
11,55.65064,-165.1879,2005,snow crab,-81228,4494,411480,3513,23,4114823,660,36.6,26.4,534,1203006,348
12,55.66299,-166.98175,2005,snow crab,-110288,9264,548640,2124,38,5486438,1088,66.39999999999999,34.4,704,1604008,784
13,55.67741,-165.79279,2005,snow crab,-82536,4254,411480,1997,23,4114823,702,42.6,27.0,528,1203006,408
14,55.68788,-163.3996,2005,snow crab,-40518,3924,205740,210,11,2057411,231,19.5,0.0,267,601503,78
15,55.6959,-164.01015,2005,snow crab,-54036,5300,274320,284,20,2743220,380,32.8,16.4,356,802004,116
16,55.97222,-163.95595,2005,snow crab,-81060,9300,411480,993,23,4114823,552,40.8,24.6,534,1203006,180
17,55.98795,-166.3789,2005,snow crab,-81270,6324,411480,679,23,4114823,738,45.6,25.2,534,1203006,390
18,55.98989,-164.61611,2005,snow crab,-81216,10482,411480,2081,23,4114823,564,37.2,25.2,534,1203006,336
19,55.99506,-167.00735,2005,snow crab,-82710,5598,411480,777,23,4114823,816,51.6,25.8,528,1203006,582
20,55.99851,-162.82531,2005,snow crab,-40515,2856,205740,225,13,2057413,240,20.4,12.0,267,601503,75
21,55.99869,-167.60875,2005,snow crab,-54292,3736,274320,528,20,2743220,536,33.6,17.2,356,802004,372
22,56.00046,-165.18845,2005,snow crab,-81210,9000,411480,5396,23,4114823,588,42.0,24.6,534,1203006,330
23,56.00405,-165.7903,2005,snow crab,-82542,6222,411480,5037,23,4114823,636,45.0,25.2,528,1203006,414
24,56.01074,-163.39426,2005,snow crab,-82314,4944,411480,2485,23,4114823,540,45.6,24.0,528,1203006,186
25,56.33033,-163.41131,2005,snow crab,-54880,4212,274320,456,16,2743216,344,30.4,14.8,352,802004,128
26,56.33252,-167.64915,2005,snow crab,-67860,3290,342900,1637,21,3429021,650,42.0,21.5,445,1002505,460
27,56.33474,-165.80991,2005,snow crab,-82548,8148,411480,2291,23,4114823,546,45.0,24.0,528,1203006,420
28,56.33534,-165.20315,2005,snow crab,-40602,3663,205740,195,13,2057413,261,21.299999999999997,0.0,267,601503,162
29,56.33604,-170.0517,2005,snow crab,-81516,5676,411480,2390,23,4114823,654,52.8,25.8,534,1203006,636
30,56.33663,-170.69136,2005,snow crab,-110608,7472,548640,3600,38,5486438,968,72.8,34.4,704,1604008,1104
31,56.33672,-164.5856,2005,snow crab,-54992,6532,274320,580,20,2743220,336,34.0,0.0,352,802004,240
32,56.33734,-166.41489,2005,snow crab,-81276,8568,411480,1512,23,4114823,618,46.2,25.2,534,1203006,396
33,56.33827,-168.23006,2005,snow crab,-82734,4284,411480,3993,23,4114823,912,51.6,25.8,528,1203006,606
34,56.34252,-163.9636,2005,snow crab,-81066,11070,411480,511,23,4114823,516,48.0,22.8,534,1203006,186
35,56.34468,-167.0352,2005,snow crab,-110272,5248,548640,2162,39,5486439,912,68.0,33.6,704,1604008,768
36,56.42538,-169.49115,2005,snow crab,-81510,4224,411480,710,23,4114823,636,53.4,24.6,534,1203006,630
37,56.66315,-161.60995,2005,snow crab,-53964,3756,274320,552,20,2743220,364,31.2,14.8,356,802004,44
38,56.66323,-163.38205,2005,snow crab,-54892,7252,274320,675,15,2743215,304,31.6,14.4,352,802004,140
39,56.66633,-167.67365,2005,snow crab,-81426,10482,411480,908,23,4114823,594,51.6,0.0,534,1203006,546
40,56.66774,-168.2971,2005,snow crab,-82740,6264,411480,3175,23,4114823,648,51.6,22.8,528,1203006,612
41,56.6678,-165.8582,2005,snow crab,-41277,5169,205740,201,13,2057413,237,22.799999999999997,11.100000000000001,264,601503,213
42,56.66793,-167.06845,2005,snow crab,-82698,10392,411480,1600,23,4114823,576,51.6,24.0,528,1203006,570
43,56.67185,-166.4257,2005,snow crab,-81282,10836,411480,2505,23,4114823,504,44.4,21.0,534,1203006,402
44,56.67213,-164.01635,2005,snow crab,-81072,4212,411480,680,23,4114823,456,44.4,21.6,534,1203006,192
45,56.67298,-171.97521,2005,snow crab,-81690,7410,411480,2183,23,4114823,756,0.0,0.0,534,1203006,810
46,56.674,-168.91015,2005,snow crab,-108624,7584,548640,330753,38,5486438,808,68.0,32.800000000000004,712,1604008,784
47,56.67516,-170.11325,2005,snow crab,-81522,7332,411480,2479,23,4114823,582,41.4,27.6,534,1203006,642
48,56.68849,-170.71895,2005,snow crab,-82950,11502,411480,2147,23,4114823,684,49.8,25.8,528,1203006,822
49,56.83039,-169.30295,2005,snow crab,-108632,9984,548640,79403,38,5486438,656,64.8,40.0,712,1604008,792
50,56.83136,-168.6098,2005,snow crab,-110328,10648,548640,3671,39,5486439,784,67.2,29.599999999999998,704,1604008,824
51,56.83276,-169.9151,2005,snow crab,-68980,4730,342900,798,21,3429021,365,42.5,25.0,440,1002505,540
52,56.83633,-170.47715,2005,snow crab,-81528,8586,411480,1584,23,4114823,612,50.4,26.4,534,1203006,648
53,56.969,-165.84161,2005,snow crab,-55040,2576,274320,272,20,2743220,296,29.2,13.6,352,802004,288
54,56.98289,-168.33731,2005,snow crab,-82752,9306,411480,1900,23,4114823,498,52.2,22.2,528,1203006,624
55,56.99154,-160.9528,2005,snow crab,-54816,7256,274320,296,20,2743220,268,28.8,16.8,352,802004,64
56,56.9922,-162.1669,2005,snow crab,-54852,5772,274320,296,20,2743220,248,26.8,16.4,352,802004,100
57,56.99318,-168.94759,2005,snow crab,-67900,7280,342900,856,28,3429028,400,42.5,20.5,445,1002505,500
58,56.99608,-166.47435,2005,snow crab,-108384,5664,548640,2395,38,5486438,584,56.800000000000004,27.199999999999996,712,1604008,544
59,56.99812,-169.54975,2005,snow crab,-96579,8421,480060,1350,36,4800636,434,59.5,37.8,616,1403507,763
60,56.99832,-167.09035,2005,snow crab,-41346,4518,205740,222,11,2057411,222,24.900000000000002,10.8,264,601503,282
61,56.99884,-170.78135,2005,snow crab,-69120,8190,342900,4463,18,3429018,485,44.5,23.5,440,1002505,680
62,56.99909,-165.21776,2005,snow crab,-40596,2103,205740,222,11,2057411,216,20.1,9.600000000000001,267,601503,156
63,56.99943,-167.70585,2005,snow crab,-81420,9030,411480,2512,23,4114823,462,49.2,22.2,534,1203006,540
64,57.00118,-172.6531,2005,snow crab,-68085,8720,342900,1886,21,3429021,585,42.5,0.0,445,1002505,685
65,57.00352,-161.58,2005,snow crab,-53968,4832,274320,312,20,2743220,280,32.8,14.8,356,802004,48
66,57.00578,-173.2561,2005,snow crab,-54472,2868,274320,459,20,2743220,572,27.2,16.8,356,802004,552
67,57.01084,-171.40361,2005,snow crab,-108904,11384,548640,9427,39,5486439,872,67.2,32.0,712,1604008,1064
68,57.16049,-169.88816,2005,snow crab,-27596,2856,137160,170,15,1371615,102,13.0,12.4,176,401002,220
69,57.16069,-169.32785,2005,snow crab,-108648,13256,548640,9651,38,5486438,536,72.8,0.0,712,1604008,808
70,57.1672,-168.64051,2005,snow crab,-81504,5628,411480,2448,23,4114823,462,51.6,22.8,534,1203006,624
71,57.32303,-168.3814,2005,snow crab,-122247,6318,617220,14336,45,6172245,666,78.30000000000001,30.599999999999994,801,1804509,927
72,57.32402,-160.3007,2005,snow crab,-53952,6136,274320,300,20,2743220,244,24.0,18.0,356,802004,32
73,57.32511,-167.74315,2005,snow crab,-108552,9896,548640,8827,38,5486438,592,64.8,24.800000000000004,712,1604008,712
74,57.33076,-167.11665,2005,snow crab,-82686,7320,411480,1493,23,4114823,426,47.4,18.0,528,1203006,558
75,57.33168,-170.861,2005,snow crab,-96754,8694,480060,3886,37,4800637,588,57.400000000000006,33.6,616,1403507,938
76,57.33204,-172.09861,2005,snow crab,-110624,5824,548640,9688,38,5486438,864,75.2,32.800000000000004,704,1604008,1120
77,57.33244,-168.9883,2005,snow crab,-108656,15224,548640,22332,38,5486438,568,65.60000000000001,30.400000000000002,712,1604008,816
78,57.33318,-164.62066,2005,snow crab,-82464,10482,411480,1484,23,4114823,372,45.6,0.0,528,1203006,336
79,57.33345,-165.23065,2005,snow crab,-40593,5418,205740,201,15,2057415,204,19.200000000000003,10.2,267,601503,153
80,57.3359,-165.8684,2005,snow crab,-82566,5550,411480,730,23,4114823,414,37.8,18.6,528,1203006,438
81,57.33684,-166.48015,2005,snow crab,-81294,6024,411480,3495,23,4114823,414,41.4,19.2,534,1203006,414
82,57.33799,-171.4739,2005,snow crab,-108896,9616,548640,24457,39,5486439,808,68.8,32.800000000000004,712,1604008,1056
83,57.34632,-169.58265,2005,snow crab,-110392,13096,548640,10501,38,5486438,528,72.0,33.6,704,1604008,888
84,57.36115,-173.33385,2005,snow crab,-54480,4848,274320,3428,20,2743220,488,27.2,16.4,356,802004,560
85,57.4949,-168.75005,2005,snow crab,-110352,7248,548640,137842,38,5486438,576,68.8,27.199999999999996,704,1604008,848
86,57.49538,-169.36115,2005,snow crab,-124200,6462,617220,3144,45,6172245,639,79.19999999999999,33.3,792,1804509,1008
87,57.50383,-170.00901,2005,snow crab,-81558,8550,411480,12880,23,4114823,390,0.0,0.0,534,1203006,678
88,57.5073,-170.5941,2005,snow crab,-81552,6858,411480,20454,23,4114823,456,51.6,26.4,534,1203006,672
89,57.65254,-171.53785,2005,snow crab,-108888,7488,548640,33532,39,5486439,800,68.8,32.0,712,1604008,1048
90,57.65629,-170.89559,2005,snow crab,-110568,7552,548640,76226,39,5486439,688,70.39999999999999,35.199999999999996,704,1604008,1064
91,57.65791,-169.66325,2005,snow crab,-124227,13707,617220,45024,45,6172245,648,82.80000000000001,32.400000000000006,792,1804509,1035
92,57.66355,-168.3951,2005,snow crab,-110344,5192,548640,12093,38,5486438,568,70.39999999999999,26.400000000000002,704,1604008,840
93,57.66595,-167.76721,2005,snow crab,-122112,8334,617220,871485,45,6172245,639,65.69999999999999,27.0,801,1804509,792
94,57.66597,-172.79631,2005,snow crab,-69150,6740,342900,6130,21,3429021,590,44.5,20.5,440,1002505,710
95,57.66603,-170.26071,2005,snow crab,-122346,14787,617220,13049,45,6172245,621,0.0,0.0,801,1804509,1026
96,57.66774,-172.15881,2005,snow crab,-82986,9798,411480,10885,23,4114823,636,54.6,24.6,528,1203006,858
97,57.66785,-167.1228,2005,snow crab,-110240,7336,548640,9322,38,5486438,552,57.60000000000001,20.8,704,1604008,736
98,57.6683,-173.39065,2005,snow crab,-40863,4593,205740,189,11,2057411,441,21.0,12.600000000000001,267,601503,423
99,57.66911,-166.50935,2005,snow crab,-67750,6175,342900,1140,21,3429021,325,28.5,15.0,445,1002505,350
100,57.67161,-164.62061,2005,snow crab,-41229,4518,205740,240,13,2057413,153,18.299999999999997,0.0,264,601503,165
101,57.67294,-165.88715,2005,snow crab,-82572,7266,411480,6020,23,4114823,384,34.8,18.6,528,1203006,444
102,57.68843,-169.03505,2005,snow crab,-110408,8136,548640,149851,38,5486438,552,72.0,25.599999999999998,704,1604008,904
103,57.82227,-169.98345,2005,snow crab,-110432,14064,548640,318534,38,5486438,584,73.60000000000001,27.199999999999996,704,1604008,928
104,57.83076,-170.60915,2005,snow crab,-108760,5600,548640,160132,38,5486438,632,73.60000000000001,32.0,712,1604008,920
105,57.83429,-168.76461,2005,snow crab,-108528,13616,548640,140845,38,5486438,568,61.60000000000001,22.400000000000002,712,1604008,688
106,57.84821,-169.3869,2005,snow crab,-110416,9848,548640,413124,38,5486438,536,72.0,25.599999999999998,704,1604008,912
107,57.98812,-169.08125,2005,snow crab,-108520,11448,548640,257012,38,5486438,552,62.39999999999999,21.599999999999998,712,1604008,680
108,57.99,-167.80535,2005,snow crab,-108536,5240,548640,17245,38,5486438,544,52.800000000000004,19.2,712,1604008,696
109,57.99492,-170.9608,2005,snow crab,-110560,5616,548640,461155,39,5486439,704,72.8,28.800000000000004,704,1604008,1056
110,57.99498,-170.34685,2005,snow crab,-108768,7344,548640,429860,38,5486438,600,72.8,28.0,712,1604008,928
111,57.99597,-169.6953,2005,snow crab,-110440,5272,548640,558557,38,5486438,568,74.39999999999999,24.0,704,1604008,936
112,57.99888,-168.4345,2005,snow crab,-124002,15507,617220,115141,45,6172245,630,61.19999999999999,19.799999999999997,792,1804509,810
113,58.00089,-167.17191,2005,snow crab,-82674,3852,411480,1732,23,4114823,384,40.2,16.8,528,1203006,546
114,58.00166,-173.4744,2005,snow crab,-68110,9095,342900,3972,21,3429021,590,34.0,19.5,445,1002505,710
115,58.00234,-166.52509,2005,snow crab,-108408,12032,548640,5882,38,5486438,456,50.39999999999999,0.0,712,1604008,568
116,58.003,-171.6,2005,snow crab,-108880,5248,548640,554604,39,5486439,792,69.60000000000001,28.800000000000004,712,1604008,1040
