,LATITUDE,LONGITUDE,SURVEY_YEAR,CPUE,BOTTOM_TEMPERATURE,SURFACE_TEMPERATURE
,,,,median,median,median
0,54.6575,-165.1575,1980,701.0,6.0,6.6
2,54.66047,-165.1302,2001,4490.0,5.4,5.2
3,54.66117,-165.1394,2002,281.0,4.9,6.0
4,54.66124,-165.13619,1995,73.0,4.8,5.9
5,54.66475,-165.13775,1981,262.0,5.6,6.8
6,54.66667,-165.15,1977,894.0,5.5,6.4
7,54.66667,-165.13333,1975,2312.0,4.2,4.2
8,54.66925,-165.1492,1996,318.0,5.7,7.2
9,54.67099,-165.14846,2008,303.0,4.0,4.2
10,54.67311,-165.14245,2009,2353.0,5.0,5.5
11,54.67318,-165.14975,2007,72.0,4.3,5.1
12,54.675,-165.16084,1978,3868.0,4.4,4.7
13,54.67568,-165.13775,2006,108.0,5.1,6.4
14,54.6765,-165.15199,2011,73.0,5.3,6.1
15,54.67659,-165.14667,1984,139.0,5.9,6.6
16,54.67772,-165.146,2014,106.0,5.6,6.9
17,54.67859,-165.1595,1993,268.0,5.5,6.6
18,54.67976,-165.13371,2016,79.0,5.7,7.7
19,54.68066,-165.14202,2015,216.0,5.9,6.8
20,54.68287,-165.15366,1998,334.0,5.1,6.5
21,54.68333,-165.15,1976,1671.5,4.3,4.6
22,54.68367,-165.15216,2000,416.5,4.5,5.2
23,54.68459,-165.16959,1994,81.0,4.2,4.9
24,54.6854,-165.16633,1997,152.0,5.5,7.6
25,54.68725,-165.13134,1990,3337.0,5.3,5.7
26,54.69147,-165.15267,2013,320.0,4.6,5.7
28,54.693,-165.155,1983,5128.0,5.3,6.9
29,54.69338,-165.13291,2010,135.0,4.8,5.4
30,54.69442,-165.14884,1985,210.0,6.1,7.8
31,54.69625,-165.1305,1992,213.0,6.5,7.4
32,54.69659,-165.12267,1989,185.0,5.3,6.6
33,54.69667,-165.09375,1987,131.0,5.7,6.2
34,54.69783,-165.15024,2017,587.0,6.1,6.7
35,54.707,-165.17059,1988,925.0,4.1,6.5
36,54.70748,-165.14242,2018,158.0,5.8,6.7
37,54.7075,-165.11442,1986,75.0,4.6,5.6
38,54.735,-165.15758,1991,915.0,5.1,7.1
39,54.96875,-165.15475,1988,245.0,4.2,6.5
40,54.97417,-165.19034,1987,399.0,5.0,6.5
41,54.97775,-165.76184,1987,351.0,4.1,6.8
42,54.98017,-165.79017,1984,1056.0,4.2,7.0
43,54.98075,-165.74967,1991,340.0,4.0,6.4
44,54.98308,-165.16691,1997,267.0,4.1,7.3
45,54.98333,-165.73333,1975,1381.5,3.2,5.2
46,54.98467,-165.15092,1981,2505.0,5.0,8.3
47,54.98814,-165.14797,2017,290.0,4.8,8.6
48,54.98863,-165.75866,2010,357.0,3.9,5.7
49,54.98981,-166.94735,1995,3616.0,3.5,6.6
51,54.99045,-165.14573,2012,201.0,2.8,4.8
52,54.99056,-165.15225,1996,148.0,4.6,7.1
53,54.99067,-166.94733,1983,664.0,4.2,9.0
54,54.99155,-165.14875,2009,323.0,3.9,5.1
55,54.99166,-165.15385,2016,225.0,5.1,9.1
56,54.99167,-165.14417,1979,543.0,4.6,5.4
57,54.99207,-165.7459,2000,360.0,3.5,5.2
58,54.99211,-165.13733,2013,113.0,4.2,5.7
59,54.99262,-166.33806,2009,641.0,3.5,6.3
60,54.99286,-165.14962,1995,582.0,4.0,5.8
61,54.99292,-166.93825,1984,332.0,4.4,8.0
62,54.99354,-166.9314,2004,5857.0,4.0,7.4
63,54.9937,-165.15505,2008,925.0,3.6,4.8
64,54.99392,-165.16492,1994,182.5,3.3,5.2
65,54.99404,-165.15444,2011,807.0,4.3,6.9
66,54.99498,-165.73877,1997,144.0,4.5,7.7
67,54.99508,-166.34875,1986,861.0,3.8,6.2
68,54.99523,-165.16202,1998,1042.0,4.2,6.8
69,54.99525,-165.09692,1990,1891.0,4.4,6.5
70,54.99543,-165.16376,2014,298.0,4.6,7.9
71,54.99544,-165.74954,2013,266.0,4.0,5.8
72,54.99575,-165.15159,1993,797.0,4.8,6.5
73,54.99584,-165.79167,1979,844.0,4.0,5.5
74,54.99599,-165.74798,2014,1326.0,4.1,8.0
75,54.99674,-165.74315,2002,493.0,4.1,6.7
76,54.997,-166.3403,2006,313.0,3.8,6.9
77,54.997,-165.7765,1983,749.0,4.0,7.7
78,54.99734,-165.75134,1994,239.0,3.9,6.1
79,54.99738,-165.14822,2015,806.0,4.9,6.4
80,54.99738,-165.13496,2018,152.0,5.0,6.4
81,54.99741,-165.14895,2002,196.0,4.5,6.1
82,54.99792,-165.74359,1980,1092.0,4.3,3.8
83,54.99814,-166.31765,2002,671.0,3.7,6.6
85,54.99836,-165.1545,2006,444.0,4.1,6.1
86,54.9984,-166.349,1999,511.0,3.3,4.8
87,54.99851,-165.14482,2010,624.0,3.8,5.6
88,54.99856,-166.33426,2004,841.5,4.1,7.9
89,54.99861,-165.76155,2001,576.0,3.8,8.2
90,54.99875,-166.911,1989,13704.0,3.4,7.0
91,54.99891,-165.76539,2011,494.0,4.2,7.1
92,54.99892,-166.95117,1994,12335.5,3.8,6.3
93,54.99892,-165.15817,1980,3827.0,4.6,6.5
94,54.99917,-165.15917,1978,886.0,3.8,4.9
96,54.99934,-165.16305,2000,360.0,4.1,4.9
97,54.99955,-166.3424,2001,1367.0,3.8,6.4
98,54.99955,-165.76415,2007,1296.0,3.6,5.6
99,54.99975,-165.75012,2015,1064.0,4.8,8.0
100,54.99992,-166.35008,1993,2418.0,3.9,7.8
101,55.0,-166.33667,1980,3660.5,4.0,4.4
102,55.0,-166.31667,1977,633.0,3.6,6.8
103,55.0,-165.74834,1981,3376.0,4.9,6.2
104,55.0,-165.15,1975,552.5,3.9,5.2
106,55.00009,-166.33758,1982,2578.0,4.9,6.0
107,55.00013,-166.3456,2000,750.0,3.7,5.9
108,55.00027,-166.92785,1997,396.0,4.0,8.0
109,55.00034,-165.1665,1982,1848.0,4.1,5.3
110,55.00048,-165.15765,2003,1633.0,5.0,7.1
111,55.0005,-165.74675,1993,1892.0,4.1,7.2
112,55.00059,-164.61061,1996,70.0,5.2,7.8
113,55.00068,-165.75365,2005,124.0,4.4,6.6
114,55.0007,-166.96491,2000,207.0,3.9,5.7
115,55.00073,-165.73301,2018,146.0,4.4,7.3
116,55.00078,-166.92991,1996,1168.5,4.3,7.2
117,55.00083,-166.9375,1979,6076.0,3.7,5.7
118,55.001,-165.15184,1983,1526.0,4.4,8.1
119,55.00116,-166.95525,1999,340.0,3.4,5.0
120,55.0012,-165.1604,2004,518.0,4.6,6.8
121,55.00142,-165.15042,1991,5136.5,4.3,6.7
122,55.00167,-166.37084,1979,2089.5,3.9,5.7
123,55.00194,-165.74135,2009,2944.0,3.6,5.5
124,55.00195,-166.36035,2008,6005.5,3.4,5.7
125,55.002,-166.93234,1981,2021.0,4.1,6.1
126,55.00249,-165.74644,2003,904.0,4.7,6.9
127,55.0025,-166.32917,1985,640.5,4.0,9.1
128,55.00267,-165.77309,1985,577.0,4.2,8.6
129,55.00267,-165.14767,1986,147.0,4.4,5.6
130,55.00274,-166.94301,2008,423.5,3.5,7.2
131,55.00276,-166.93389,2014,6016.0,4.0,8.3
132,55.00298,-166.33789,2012,1060.5,3.1,5.4
133,55.00304,-166.94275,2003,196.0,4.5,7.2
134,55.00314,-166.32495,2005,2365.0,4.3,6.7
135,55.00323,-166.34548,2010,1762.0,4.0,6.5
136,55.00325,-166.93175,1985,197.0,4.0,8.3
137,55.00358,-166.9359,2009,1182.5,3.5,6.2
138,55.00375,-166.379,1994,603.5,3.2,5.4
139,55.00388,-166.34706,1998,1219.0,3.8,7.6
140,55.00489,-165.16245,2007,339.0,3.8,5.9
141,55.005,-165.75667,1982,2055.0,4.0,7.7
142,55.005,-165.74083,1978,358.0,4.0,5.2
143,55.00509,-165.74575,1986,817.5,4.1,6.3
144,55.00518,-166.93795,2006,1181.0,3.6,6.5
145,55.00525,-166.9485,1993,4605.0,3.9,7.6
146,55.00536,-165.76056,2016,226.0,4.5,8.0
147,55.00542,-166.29383,1991,1092.5,3.7,6.7
148,55.00543,-165.75095,2004,190.0,4.2,7.4
149,55.00544,-166.36668,1995,1088.0,3.6,5.9
150,55.00549,-166.93369,2012,392.0,3.5,6.0
151,55.00559,-165.7651,2006,1128.0,3.7,7.5
152,55.00566,-166.9304,2005,3471.0,4.1,7.2
153,55.00574,-166.94188,2016,4400.0,4.7,8.5
154,55.00579,-165.75506,1996,202.0,4.6,7.4
155,55.00617,-166.33859,1983,1227.0,4.2,8.1
156,55.00625,-166.94434,1986,291.0,3.9,6.5
157,55.00628,-165.7425,1999,600.0,3.4,4.8
158,55.00633,-166.9221,2001,345.5,4.2,7.7
159,55.00633,-165.75963,2012,119.0,3.5,5.4
160,55.00635,-166.94038,2015,2175.5,4.5,9.0
161,55.00636,-165.75112,1998,594.0,4.1,7.8
162,55.00658,-166.94367,1987,218.0,3.7,7.1
163,55.00664,-166.9379,2002,235.5,3.7,7.0
164,55.00667,-166.32211,2018,1452.0,4.4,7.1
165,55.00716,-164.59685,1997,364.0,5.0,7.2
166,55.00719,-165.74993,2017,2627.0,4.3,8.9
167,55.00727,-166.31862,2015,3444.0,4.6,8.7
168,55.00732,-165.15081,1999,544.0,3.6,4.2
169,55.00747,-166.942,2011,306.0,3.9,7.4
170,55.0075,-166.33183,1984,1459.0,4.7,8.8
171,55.0075,-165.12542,1985,432.0,3.9,9.0
172,55.00758,-166.34565,2007,1989.0,3.5,6.1
173,55.00759,-165.14992,1992,3245.5,4.8,7.9
174,55.00767,-166.92642,1992,326.5,4.0,7.3
175,55.00767,-165.15417,2001,284.0,4.2,6.5
176,55.00822,-165.7602,1995,1644.5,3.7,5.3
177,55.00845,-166.31214,2017,2515.0,4.3,8.2
178,55.00858,-166.31625,2013,1879.0,3.7,6.3
179,55.00884,-166.3475,1981,1345.0,4.4,5.9
180,55.00913,-166.9365,2013,23149.5,3.7,6.7
181,55.00944,-166.31777,2011,5235.0,3.8,7.2
182,55.00967,-165.76067,1992,1008.5,4.1,7.8
183,55.00975,-166.33284,1992,1244.0,4.0,7.5
184,55.01,-164.54917,1981,103.0,5.5,8.5
185,55.01117,-166.94968,2017,130.0,4.3,7.5
187,55.01225,-165.75316,2008,380.0,3.8,6.0
188,55.01288,-166.94091,2007,979.0,3.6,8.6
189,55.0133,-166.32042,2014,810.5,3.9,8.4
190,55.014,-166.93423,2018,230.5,4.4,7.4
191,55.01417,-166.94417,1982,988.0,3.9,7.9
192,55.01477,-166.93428,2010,950.5,4.0,6.3
193,55.015,-164.58333,1978,326.0,4.6,5.8
194,55.01514,-166.34483,1997,736.0,4.1,8.4
198,55.01667,-165.15,1976,6920.0,4.9,7.0
199,55.01725,-166.9625,1990,178.5,3.5,7.3
200,55.0175,-166.95167,1978,483.5,4.0,6.4
201,55.01778,-166.33287,2016,504.0,4.8,8.7
202,55.01817,-166.30983,1990,9604.0,3.4,6.8
203,55.01917,-166.335,1978,1243.0,3.9,6.0
204,55.02067,-166.94992,1980,4315.0,3.8,5.5
205,55.02108,-165.74342,1988,224.0,3.9,7.1
206,55.02157,-164.59407,2010,70.0,5.1,5.0
207,55.02208,-166.94059,1988,2287.0,3.7,6.6
208,55.02222,-164.58975,2002,147.0,5.0,6.4
209,55.02492,-165.14525,1989,970.0,4.9,5.4
210,55.0265,-164.59115,2008,151.0,3.6,5.0
211,55.02792,-165.7615,1989,26398.0,3.5,6.5
212,55.02928,-164.58469,2018,73.0,5.9,7.8
213,55.0322,-164.60495,1998,153.0,6.0,6.7
