,SURVEY_YEAR,CPUE,BOTTOM_TEMPERATURE,SURFACE_TEMPERATURE
0,1975,44020131,1.8,5.6
1,1976,38887969,1.5,4.8
2,1977,65591079,3.3,9.2
3,1978,36781145,3.4,6.2
4,1979,76081810,4.0,7.9
5,1980,60242067,2.3499999999999996,4.8
6,1981,31007773,3.9,7.4
7,1982,34859960,2.4,6.2
8,1983,28738760,3.0,8.9
9,1984,23400254,2.1,7.6
10,1985,8185999,2.5,7.3
11,1986,19607244,1.7,6.2
12,1987,66028598,3.4,7.0
13,1988,58390613,1.9,7.0
14,1989,63007157,2.8,7.1
15,1990,53211566,2.3,7.8
16,1991,70720692,2.6,8.5
17,1992,49930358,1.1,7.2
18,1993,69566591,2.9,7.2
19,1994,61372068,1.8,6.0
20,1995,54867265,1.4,6.5
21,1996,36585079,3.3,7.1
22,1997,27873494,2.4,8.2
23,1998,19911758,3.2,8.0
24,1999,11109888,0.9,4.5
25,2000,20818117,2.1,6.6
26,2001,27174774,2.9,6.3
27,2002,12478398,3.2,7.4
28,2003,19437827,3.9,8.0
29,2004,33176206,3.3,8.7
30,2005,37984052,3.6,7.8
31,2006,27297113,1.9,6.2
32,2007,25989057,1.3,6.3
33,2008,20290649,1.0,4.3
34,2009,23434717,1.0,5.3
35,2010,49982343,1.6,5.8
36,2011,45607616,2.5,5.1
37,2012,40184255,0.4,5.3
38,2013,34081140,1.4,6.1
39,2014,38382120,3.2,8.7
40,2015,29920392,3.7,7.3
41,2016,36931103,4.6,9.5
42,2017,55253132,2.7,8.4
43,2018,80858372,4.1,7.8
